area,content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,long_l,short_l,FILE,PAGE,Category_ID,Category
8670080.0,0.94,0.98,0.02,0.0,0.0,True,True,True,False,4,120,4,0,True,True,True,False,False,False,219,459,CTX199706756,43,1,Form
8660160.0,0.72,0.97,0.03,0.0,0.0,True,True,True,False,3,63,3,0,False,True,True,False,False,False,241,510,CTX199706756,44,1,Form
8682480.0,1.85,0.99,0.01,0.0,0.0,True,True,False,False,8,4,0,0,True,True,True,False,False,False,241,495,CTX199706756,45,1,Form
8642700.0,0.02,0.0,1.0,0.0,0.0,False,True,True,False,0,80,4,0,True,True,False,False,False,False,262,535,CTX199706756,46,1,Form
8670080.0,0.7,0.98,0.02,0.0,0.0,True,True,True,False,3,69,3,0,True,False,True,False,False,False,193,448,CTX199706756,47,1,Form
8670080.0,0.7,0.98,0.02,0.0,0.0,True,True,True,False,3,66,3,0,True,True,True,False,False,False,255,516,CTX199706756,48,1,Form
8670080.0,0.71,0.97,0.03,0.0,0.0,True,True,True,False,3,87,3,0,True,True,True,False,False,False,233,505,CTX199706756,49,1,Form
8684064.0,1.43,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,229,475,CTX199706756,50,1,Form
8670080.0,0.49,0.97,0.03,0.0,0.0,True,True,True,False,2,58,2,0,True,True,False,False,False,False,232,536,CTX199706756,51,1,Form
8682480.0,0.96,0.98,0.02,0.0,0.0,True,True,False,False,4,2,0,0,False,True,True,False,False,False,264,572,CTX199706756,52,1,Form
8696484.0,0.97,0.98,0.02,0.0,0.0,True,True,True,False,4,83,4,1,True,True,True,False,False,False,232,502,CTX199706756,53,1,Form
8670080.0,1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,False,True,True,False,False,False,284,519,CTX199706756,54,1,Form
8684064.0,1.41,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,261,518,CTX199706756,55,1,Form
8684064.0,0.72,0.98,0.02,0.0,0.0,True,True,True,False,3,60,3,0,True,True,True,False,False,False,251,544,CTX199706756,56,1,Form
8670080.0,0.01,0.0,1.0,0.0,0.0,False,True,True,False,0,90,4,0,True,False,False,False,False,False,211,473,CTX199706756,57,1,Form
8652600.0,1.01,0.99,0.01,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,229,464,CTX199706756,58,1,Form
8670080.0,0.02,0.0,1.0,0.0,0.0,False,True,True,False,0,74,4,0,True,True,False,False,False,False,232,503,CTX199706756,59,1,Form
8684064.0,1.41,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,False,True,True,False,False,False,252,486,CTX199706756,60,1,Form
8670080.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,142,372,CTX199706756,61,3,Table
8652600.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,19,5,CTX199706756,62,11,Empty-text
8652600.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,213,346,CTX199706756,63,3,Table
8682480.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,456,284,CTX199706756,64,3,Table
8674128.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,216,154,CTX199706756,65,3,Table
8696484.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,169,177,CTX199706756,66,3,Table
8670080.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,255,129,CTX199706756,67,3,Table
8696484.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,227,172,CTX199706756,68,3,Table
8670080.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,365,354,CTX199706756,69,3,Table
8696484.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,13,4,CTX199706756,70,11,Empty-text
8682480.0,0.71,0.0,0.04,0.96,0.0,False,True,True,False,0,1,1,0,False,True,False,False,True,False,549,543,CTX199706756,71,5,Gallery
28172430.0,0.0,0.0,0.11,0.0,0.89,False,True,True,True,0,21,1,1,False,False,False,False,False,False,239,319,CTX199706756,72,8,Headers-text
8670080.0,0.73,0.0,0.0,1.0,0.0,False,False,True,True,0,0,1,2,True,True,False,False,True,False,439,553,CTX199706756,73,5,Gallery
8670080.0,0.78,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,True,False,False,True,False,674,1184,CTX199706756,74,5,Gallery
8684064.0,0.71,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,508,380,CTX199706756,75,5,Gallery
8682480.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,436,660,CTX199706756,76,2,Form-figure
8696484.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,513,437,CTX199706756,77,2,Form-figure
8692400.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,3,3,CTX199706756,78,11,Empty-text
8696484.0,0.7,0.0,0.01,0.99,0.0,False,True,True,False,0,32,3,0,True,True,False,False,True,False,1058,599,CTX199706756,79,5,Gallery
8682480.0,0.67,0.0,0.01,0.99,0.0,False,True,True,False,0,1,1,0,True,False,False,False,True,False,820,913,CTX199706756,80,5,Gallery
17347455.0,0.01,0.0,0.59,0.0,0.41,False,True,False,True,0,1,0,1,True,True,False,False,False,False,273,372,CTX199706756,81,5,Gallery
8682480.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,872,1043,CTX199706756,82,2,Form-figure
8933914.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,349,6310,CTX199706756,83,5,Gallery
8692400.0,0.74,0.0,0.01,0.99,0.0,False,True,True,False,0,1,2,0,True,True,False,False,True,False,760,5503,CTX199706756,84,5,Gallery
8692400.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,1705,4381,CTX199706756,85,5,Gallery
8692400.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,1020,5702,CTX199706756,86,5,Gallery
8692400.0,0.32,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,False,False,785,5226,CTX199706756,87,5,Gallery
