content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,FILE,PAGE,Category_ID,Category
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,False,True,True,False,False,False,CTX199706756,54,1,Form
1.41,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,55,1,Form
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,56,1,Form
1.0,0.99,0.01,0.0,0.0,True,True,False,False,4,2,0,0,True,False,True,False,False,False,CTX199706756,57,1,Form
1.01,0.99,0.01,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,CTX199706756,58,1,Form
0.98,0.98,0.02,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,CTX199706756,59,1,Form
0.21,0.0,0.94,0.0,0.06,False,True,False,True,0,20,0,2,True,True,False,False,False,False,CTX199706756,6,8,Headers-text
1.41,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,False,True,True,False,False,False,CTX199706756,60,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,61,10,Neither
0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,62,9,Mixed
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,63,10,Neither
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,64,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,65,10,Neither
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,66,10,Neither
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,67,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,68,10,Neither
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,69,10,Neither
0.21,0.0,0.93,0.0,0.07,False,True,False,True,0,21,0,2,False,True,False,False,False,False,CTX199706756,7,8,Headers-text
0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,70,9,Mixed
0.71,0.0,0.04,0.96,0.0,False,True,True,False,0,1,1,0,False,True,False,False,True,False,CTX199706756,71,5,Gallery
0.65,1.0,0.0,0.0,0.0,True,False,False,True,1,0,0,1,False,False,True,False,False,False,CTX199706756,72,1,Form
0.73,0.0,0.0,1.0,0.0,False,False,True,True,0,0,1,2,True,True,False,False,True,False,CTX199706756,73,5,Gallery
0.78,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,True,False,False,True,False,CTX199706756,74,5,Gallery
0.71,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX199706756,75,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,76,10,Neither
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,CTX199706756,77,10,Neither
0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,78,9,Mixed
0.6,0.99,0.01,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX199706756,79,1,Form
0.26,0.0,0.95,0.0,0.05,False,True,False,True,0,24,0,2,False,True,False,False,False,False,CTX199706756,8,8,Headers-text
0.67,0.0,0.01,0.99,0.0,False,True,True,False,0,1,1,0,True,False,False,False,True,False,CTX199706756,80,5,Gallery
0.01,0.0,0.59,0.0,0.41,False,True,False,True,0,1,0,1,True,True,False,False,False,False,CTX199706756,81,8,Headers-text
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX199706756,82,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,83,3,Table
0.74,0.0,0.01,0.99,0.0,False,True,True,False,0,1,2,0,True,True,False,False,True,False,CTX199706756,84,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,85,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,86,3,Table
0.32,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,False,False,CTX199706756,87,5,Gallery
0.22,0.0,0.97,0.0,0.03,False,True,False,True,0,22,0,2,False,True,False,False,False,False,CTX199706756,9,8,Headers-text
