FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,CLASS-4,CLASS-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5,CERTAIN,TRUE,GUESS
CTX199400067B,47,TEXT_P,LINE_HW,DRAW_L,TEXT_T,LINE_T,0.28,0.21,0.189,0.184,0.137,0.00216,DRAW,0
CTX199706756,64,DRAW_L,TEXT_HW,LINE_HW,TEXT_T,LINE_T,0.273,0.23,0.195,0.152,0.149,0.00223,LINE_T,5
CTX199706756,67,TEXT_HW,DRAW_L,LINE_HW,TEXT_T,LINE_T,0.277,0.228,0.196,0.151,0.147,0.00239,LINE_T,5
CTX199706756,79,TEXT_P,TEXT_HW,TEXT_T,LINE_HW,LINE_T,0.252,0.25,0.208,0.173,0.117,0.00258,DRAW,0
CTX195600870,14,TEXT_T,LINE_HW,TEXT,PHOTO,LINE_T,0.285,0.243,0.167,0.157,0.149,0.00293,DRAW/TEXT,0
CTX195600870,13,TEXT_P,TEXT_T,DRAW_L,PHOTO,LINE_T,0.304,0.224,0.165,0.16,0.147,0.00341,TEXT_T,2
CTX198702238A,23,DRAW,DRAW_L,TEXT_T,LINE_T,TEXT_P,0.278,0.258,0.181,0.157,0.125,0.00346,DRAW,1
MTX202210033,16,PHOTO,DRAW_L,TEXT_P,TEXT_T,LINE_T,0.307,0.206,0.197,0.172,0.118,0.0038,LINE_HW,0
P043_00001_009,2,PHOTO,DRAW,DRAW_L,TEXT,LINE_T,0.303,0.212,0.197,0.186,0.102,0.00411,TEXT_HW,0
CTX194604301,32,DRAW_L,LINE_T,TEXT_HW,TEXT_T,LINE_HW,0.317,0.209,0.187,0.172,0.116,0.00438,DRAW,0
CTX194604301,27,DRAW_L,TEXT_T,TEXT_P,LINE_T,LINE_HW,0.281,0.275,0.176,0.159,0.11,0.00448,DRAW_L,1
CTX195600870,11,DRAW_L,TEXT,TEXT_T,PHOTO,LINE_T,0.313,0.237,0.164,0.16,0.127,0.00449,TEXT_T,3
CTX193102237,5,DRAW,PHOTO,TEXT,LINE_T,TEXT_T,0.316,0.224,0.186,0.156,0.118,0.00459,LINE_T,4
CTX199400067B,11,TEXT_HW,DRAW_L,LINE_HW,TEXT_T,LINE_T,0.309,0.249,0.173,0.145,0.124,0.00477,LINE_T,5
CTX199706756,76,TEXT_P,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.323,0.221,0.17,0.165,0.121,0.00478,DRAW,0
CTX200502635,13,LINE_T,LINE_P,LINE_HW,PHOTO_L,TEXT_T,0.327,0.221,0.174,0.142,0.135,0.00497,LINE_P,2
CTX195600870,15,TEXT_HW,LINE_HW,TEXT_T,PHOTO,LINE_T,0.313,0.245,0.181,0.141,0.12,0.00501,DRAW/TEXT,0
CTX199400067D,12,DRAW_L,TEXT_T,LINE_T,TEXT_HW,LINE_HW,0.336,0.183,0.18,0.175,0.126,0.00508,DRAW,0
CTX199400067B,10,TEXT_HW,LINE_HW,DRAW_L,TEXT_T,LINE_T,0.3,0.264,0.172,0.16,0.104,0.00514,LINE_T,5
MTX202210033,21,PHOTO,TEXT_P,DRAW_L,TEXT_T,LINE_T,0.336,0.196,0.18,0.163,0.125,0.00517,LINE_HW,0
CTX199706756,75,TEXT_P,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.325,0.204,0.192,0.179,0.1,0.00523,DRAW,0
CTX199706756,77,PHOTO,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.336,0.188,0.183,0.177,0.117,0.00528,DRAW,0
CTX199400067D,10,DRAW_L,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.338,0.191,0.184,0.167,0.12,0.00536,DRAW,0
P043_00001_009,1,LINE_HW,TEXT,DRAW_L,DRAW,LINE_T,0.333,0.203,0.191,0.163,0.11,0.00548,TEXT_HW,0
P043_00001_041,2,TEXT,DRAW_L,TEXT_T,DRAW,LINE_T,0.335,0.219,0.179,0.139,0.127,0.00557,TEXT_HW,0
CTX201603571,120,LINE_P,LINE_T,PHOTO_L,LINE_HW,TEXT_T,0.344,0.188,0.172,0.172,0.125,0.00561,LINE_P,1
CTX193102237,9,DRAW,PHOTO,TEXT,TEXT_T,LINE_T,0.292,0.287,0.166,0.146,0.109,0.00569,LINE_T,5
MTX202210033,26,PHOTO,TEXT_P,DRAW_L,TEXT_T,LINE_T,0.344,0.189,0.176,0.168,0.123,0.00569,LINE_HW,0
MTX202210033,29,LINE_HW,TEXT_P,TEXT_T,DRAW_L,LINE_T,0.34,0.196,0.191,0.157,0.115,0.00577,LINE_HW,1
CTX200502635,12,LINE_T,LINE_P,PHOTO_L,LINE_HW,TEXT_T,0.335,0.219,0.19,0.13,0.126,0.00578,LINE_P,2
CTX194300428,1,TEXT,DRAW_L,PHOTO,TEXT_T,LINE_T,0.338,0.208,0.191,0.142,0.121,0.00579,TEXT,1
CTX195600870,12,DRAW_L,TEXT,TEXT_T,PHOTO,LINE_T,0.333,0.224,0.195,0.128,0.12,0.00595,TEXT_T,3
P043_00002_014,11,DRAW_L,LINE_HW,PHOTO,TEXT,LINE_T,0.317,0.234,0.221,0.116,0.113,0.00597,TEXT_HW,0
CTX199706756,17,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.352,0.199,0.153,0.149,0.146,0.00619,LINE_T,3
MTX202210033,17,PHOTO,DRAW_L,TEXT_P,TEXT_T,LINE_T,0.346,0.198,0.186,0.16,0.11,0.00625,LINE_HW,0
CTX198702238A,22,DRAW_L,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.334,0.246,0.158,0.139,0.123,0.00628,DRAW,0
P043_00001_041,3,PHOTO,TEXT,TEXT_T,DRAW,LINE_T,0.332,0.245,0.174,0.13,0.119,0.00632,TEXT_HW,0
MTX197001050,8,LINE_HW,DRAW_L,LINE_T,DRAW,TEXT,0.311,0.258,0.213,0.112,0.105,0.00652,PHOTO,0
CTX201603571,117,LINE_P,LINE_T,PHOTO_L,LINE_HW,TEXT_T,0.345,0.222,0.165,0.161,0.107,0.00657,LINE_P,1
CTX199400067D,11,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.337,0.229,0.192,0.148,0.093,0.00677,DRAW,0
MTX202210033,22,PHOTO,DRAW_L,TEXT_P,TEXT_T,LINE_T,0.358,0.191,0.182,0.152,0.117,0.00688,LINE_HW,0
CTX195600870,10,TEXT,DRAW_L,TEXT_T,PHOTO,LINE_T,0.337,0.236,0.188,0.148,0.092,0.00694,TEXT_T,3
CTX199400067B,46,TEXT_HW,TEXT_T,DRAW_L,LINE_T,LINE_HW,0.354,0.219,0.167,0.154,0.107,0.00718,DRAW,0
CTX199706756,20,PHOTO_L,LINE_P,LINE_T,LINE_HW,TEXT_T,0.354,0.231,0.154,0.135,0.127,0.00727,LINE_T,3
CTX199706756,19,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.37,0.204,0.151,0.14,0.136,0.0078,LINE_T,3
CTX199706756,18,LINE_T,PHOTO_L,LINE_P,LINE_HW,TEXT_T,0.374,0.187,0.156,0.141,0.141,0.00785,LINE_T,1
CTX199706756,21,PHOTO_L,LINE_P,LINE_T,LINE_HW,TEXT_T,0.36,0.239,0.148,0.133,0.121,0.00811,LINE_T,3
MTX202300556,23,DRAW_L,LINE_P,LINE_T,PHOTO,TEXT,0.349,0.237,0.198,0.124,0.092,0.00817,PHOTO,4
