DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T,FILE,PAGE,PHOTO,DRAW,LINE,TEXT
0.16516516516516516,0.10510510510510511,0.03303303303303303,0.02702702702702703,0.25225225225225223,0.08708708708708708,0.003003003003003003,0.0960960960960961,0.057057057057057055,0.03903903903903904,0.13513513513513514,P043_00001_041,2,0.09,0.27,0.312,0.327
0.03303303303303303,0.10510510510510511,0.17117117117117117,0.015015015015015015,0.17117117117117117,0.03903903903903904,0.036036036036036036,0.018018018018018018,0.1981981981981982,0.036036036036036036,0.17717717717717718,CTX194604301,30,0.075,0.138,0.357,0.429
0.02702702702702703,0.12612612612612611,0.16516516516516516,0.012012012012012012,0.23123123123123124,0.042042042042042045,0.02702702702702703,0.012012012012012012,0.12912912912912913,0.03303303303303303,0.19519519519519518,CTX199706756,64,0.069,0.153,0.408,0.369
0.05405405405405406,0.05105105105105105,0.13813813813813813,0.07807807807807808,0.12912912912912913,0.042042042042042045,0.12012012012012012,0.03003003003003003,0.06006006006006006,0.018018018018018018,0.27927927927927926,CTX201603571,142,0.162,0.105,0.345,0.387
0.04504504504504504,0.06306306306306306,0.14714714714714713,0.12312312312312312,0.1111111111111111,0.03003003003003003,0.1111111111111111,0.009009009009009009,0.057057057057057055,0.009009009009009009,0.29429429429429427,CTX199706756,18,0.141,0.108,0.381,0.369
0.06306306306306306,0.12912912912912913,0.057057057057057055,0.02702702702702703,0.25225225225225223,0.09009009009009009,0.021021021021021023,0.042042042042042045,0.057057057057057055,0.12312312312312312,0.13813813813813813,MTX202210033,26,0.111,0.192,0.336,0.36
0.036036036036036036,0.057057057057057055,0.16816816816816818,0.1111111111111111,0.11411411411411411,0.036036036036036036,0.08708708708708708,0.009009009009009009,0.04504504504504504,0.015015015015015015,0.3213213213213213,CTX199706756,16,0.123,0.093,0.393,0.39
0.0960960960960961,0.03903903903903904,0.04727944727944728,0.018018018018018018,0.1329007329007329,0.07807807807807808,0.003003003003003003,0.48348348348348347,0.024024024024024024,0.012012012012012012,0.06606606606606606,MTX202300556,25,0.081,0.135,0.198,0.586
0.07507507507507508,0.12912912912912913,0.061839121972752265,0.021021021021021023,0.24146418133055106,0.09009009009009009,0.018018018018018018,0.03903903903903904,0.06606606606606606,0.11711711711711711,0.14114114114114115,MTX202210033,21,0.108,0.204,0.324,0.363
0.2072072072072072,0.09009009009009009,0.08408408408408409,0.009009009009009009,0.17117117117117117,0.06306306306306306,0.0,0.24924924924924924,0.021021021021021023,0.04804804804804805,0.057057057057057055,MTX197001050,8,0.063,0.297,0.264,0.375
0.03003003003003003,0.08108108108108109,0.32432432432432434,0.04804804804804805,0.18618618618618618,0.02702702702702703,0.04504504504504504,0.024024024024024024,0.10510510510510511,0.024024024024024024,0.10510510510510511,MTX202210018,24,0.072,0.111,0.559,0.258
0.02702702702702703,0.09009009009009009,0.3213213213213213,0.04504504504504504,0.16516516516516516,0.02702702702702703,0.05105105105105105,0.015015015015015015,0.12612612612612611,0.02702702702702703,0.10510510510510511,MTX202210018,23,0.078,0.117,0.532,0.273
0.08408408408408409,0.09309309309309309,0.06459830511096447,0.036036036036036036,0.2296959891833298,0.17417417417417416,0.006006006006006006,0.11711711711711711,0.021021021021021023,0.05405405405405406,0.12012012012012012,CTX195600870,11,0.18,0.177,0.33,0.312
